Entity,Code,Year,Annual CO₂ emissions
Brazil,BRA,1950,19659072.0
Brazil,BRA,1951,21659348.0
Brazil,BRA,1952,24934310.0
Brazil,BRA,1953,25218440.0
Brazil,BRA,1954,29675626.0
Brazil,BRA,1955,34023692.0
Brazil,BRA,1956,36608456.0
Brazil,BRA,1957,35974080.0
Brazil,BRA,1958,39053930.0
Brazil,BRA,1959,39017080.0
Brazil,BRA,1960,46851820.0
Brazil,BRA,1961,49136050.0
Brazil,BRA,1962,53613250.0
Brazil,BRA,1963,55523040.0
Brazil,BRA,1964,56626316.0
Brazil,BRA,1965,56279224.0
Brazil,BRA,1966,64162424.0
Brazil,BRA,1967,66032556.0
Brazil,BRA,1968,77224150.0
Brazil,BRA,1969,84088420.0
Brazil,BRA,1970,93488200.0
Brazil,BRA,1971,102337050.0
Brazil,BRA,1972,114018824.0
Brazil,BRA,1973,132060776.0
Brazil,BRA,1974,143015700.0
Brazil,BRA,1975,150326580.0
Brazil,BRA,1976,154606980.0
Brazil,BRA,1977,162363360.0
Brazil,BRA,1978,177117180.0
Brazil,BRA,1979,187787150.0
Brazil,BRA,1980,186190690.0
Brazil,BRA,1981,171324430.0
Brazil,BRA,1982,171499700.0
Brazil,BRA,1983,165899790.0
Brazil,BRA,1984,167567460.0
Brazil,BRA,1985,180110740.0
Brazil,BRA,1986,197238400.0
Brazil,BRA,1987,205967680.0
Brazil,BRA,1988,207695260.0
Brazil,BRA,1989,212071060.0
Brazil,BRA,1990,218658000.0
Brazil,BRA,1991,229394000.0
Brazil,BRA,1992,233601000.0
Brazil,BRA,1993,244306000.0
Brazil,BRA,1994,254002000.0
Brazil,BRA,1995,268678000.0
Brazil,BRA,1996,289311000.0
Brazil,BRA,1997,306949000.0
Brazil,BRA,1998,317359000.0
Brazil,BRA,1999,327256000.0
Brazil,BRA,2000,340183000.0
Brazil,BRA,2001,346165980.0
Brazil,BRA,2002,347765020.0
Brazil,BRA,2003,344645000.0
Brazil,BRA,2004,361434000.0
Brazil,BRA,2005,364371000.0
Brazil,BRA,2006,368871000.0
Brazil,BRA,2007,390573000.0
Brazil,BRA,2008,412638000.0
Brazil,BRA,2009,389775000.0
Brazil,BRA,2010,440269020.0
Brazil,BRA,2011,462580000.0
Brazil,BRA,2012,498309000.0
Brazil,BRA,2013,532418020.0
Brazil,BRA,2014,557901000.0
Brazil,BRA,2015,529353020.0
Brazil,BRA,2016,492748000.0
Brazil,BRA,2017,498266430.0
Brazil,BRA,2018,478379100.0
Brazil,BRA,2019,473389800.0
Brazil,BRA,2020,445208100.0
Brazil,BRA,2021,498016860.0
Brazil,BRA,2022,483840580.0
Brazil,BRA,2023,486470080.0
China,CHN,1950,78835290.0
China,CHN,1951,102115210.0
China,CHN,1952,127999330.0
China,CHN,1953,133782880.0
China,CHN,1954,160877400.0
China,CHN,1955,190521460.0
China,CHN,1956,215823980.0
China,CHN,1957,255784960.0
China,CHN,1958,524617060.0
China,CHN,1959,720151550.0
China,CHN,1960,798799940.0
China,CHN,1961,570630200.0
China,CHN,1962,459618080.0
China,CHN,1963,456779460.0
China,CHN,1964,460637100.0
China,CHN,1965,500286370.0
China,CHN,1966,549459260.0
China,CHN,1967,460225900.0
China,CHN,1968,495506560.0
China,CHN,1969,607683300.0
China,CHN,1970,807952640.0
China,CHN,1971,909209700.0
China,CHN,1972,968645570.0
China,CHN,1973,1008292600.0
China,CHN,1974,1028099840.0
China,CHN,1975,1183215000.0
China,CHN,1976,1226421200.0
China,CHN,1977,1340831100.0
China,CHN,1978,1492777900.0
China,CHN,1979,1525661200.0
China,CHN,1980,1494495900.0
China,CHN,1981,1476487800.0
China,CHN,1982,1606585000.0
China,CHN,1983,1694216800.0
China,CHN,1984,1844828000.0
China,CHN,1985,1998083000.0
China,CHN,1986,2104213400.0
China,CHN,1987,2257738500.0
China,CHN,1988,2425893600.0
China,CHN,1989,2463654400.0
China,CHN,1990,2484854800.0
China,CHN,1991,2606096100.0
China,CHN,1992,2730787600.0
China,CHN,1993,2921651000.0
China,CHN,1994,3103739000.0
China,CHN,1995,3361637000.0
China,CHN,1996,3508818200.0
China,CHN,1997,3515594200.0
China,CHN,1998,3364587500.0
China,CHN,1999,3557274600.0
China,CHN,2000,3649226500.0
China,CHN,2001,3728509700.0
China,CHN,2002,4103046400.0
China,CHN,2003,4841118700.0
China,CHN,2004,5217351000.0
China,CHN,2005,5882106400.0
China,CHN,2006,6494330400.0
China,CHN,2007,6983547400.0
China,CHN,2008,7501497300.0
China,CHN,2009,7891078000.0
China,CHN,2010,8620576000.0
China,CHN,2011,9532332000.0
China,CHN,2012,9779292000.0
China,CHN,2013,9956329000.0
China,CHN,2014,9990257000.0
China,CHN,2015,9863457000.0
China,CHN,2016,9762714000.0
China,CHN,2017,10006343000.0
China,CHN,2018,10332993000.0
China,CHN,2019,10713984000.0
China,CHN,2020,10905693000.0
China,CHN,2021,11447913000.0
China,CHN,2022,11350538000.0
China,CHN,2023,11902503000.0
France,FRA,1950,202278640.0
France,FRA,1951,228729010.0
France,FRA,1952,226986500.0
France,FRA,1953,214548210.0
France,FRA,1954,226351860.0
France,FRA,1955,238981800.0
France,FRA,1956,268499330.0
France,FRA,1957,277497020.0
France,FRA,1958,266153710.0
France,FRA,1959,261890110.0
France,FRA,1960,296602180.0
France,FRA,1961,316220030.0
France,FRA,1962,333476860.0
France,FRA,1963,338581920.0
France,FRA,1964,369539680.0
France,FRA,1965,364230370.0
France,FRA,1966,381139070.0
France,FRA,1967,405496130.0
France,FRA,1968,419073380.0
France,FRA,1969,444280100.0
France,FRA,1970,461337700.0
France,FRA,1971,494426700.0
France,FRA,1972,514987840.0
France,FRA,1973,539771650.0
France,FRA,1974,521906370.0
France,FRA,1975,483271550.0
France,FRA,1976,524454600.0
France,FRA,1977,508118880.0
France,FRA,1978,529908450.0
France,FRA,1979,533254000.0
France,FRA,1980,512217540.0
France,FRA,1981,460490660.0
France,FRA,1982,441564160.0
France,FRA,1983,424455070.0
France,FRA,1984,413169020.0
France,FRA,1985,406314270.0
France,FRA,1986,391447740.0
France,FRA,1987,388851620.0
France,FRA,1988,386506080.0
France,FRA,1989,400328700.0
France,FRA,1990,393717280.0
France,FRA,1991,417859100.0
France,FRA,1992,407315940.0
France,FRA,1993,387699200.0
France,FRA,1994,380793060.0
France,FRA,1995,385809900.0
France,FRA,1996,402156450.0
France,FRA,1997,394845060.0
France,FRA,1998,413258600.0
France,FRA,1999,412020800.0
France,FRA,2000,406139200.0
France,FRA,2001,410445440.0
France,FRA,2002,405946530.0
France,FRA,2003,411964860.0
France,FRA,2004,413379500.0
France,FRA,2005,415795070.0
France,FRA,2006,406156960.0
France,FRA,2007,396010340.0
France,FRA,2008,389093760.0
France,FRA,2009,370875840.0
France,FRA,2010,376457200.0
France,FRA,2011,354374800.0
France,FRA,2012,356439460.0
France,FRA,2013,358702820.0
France,FRA,2014,326842370.0
France,FRA,2015,331490200.0
France,FRA,2016,334199870.0
France,FRA,2017,337101440.0
France,FRA,2018,321939700.0
France,FRA,2019,315015330.0
France,FRA,2020,280490020.0
France,FRA,2021,305607230.0
France,FRA,2022,293501630.0
France,FRA,2023,272475840.0
Germany,DEU,1950,510681820.0
Germany,DEU,1951,576865540.0
Germany,DEU,1952,610980600.0
Germany,DEU,1953,623492030.0
Germany,DEU,1954,659731900.0
Germany,DEU,1955,723498430.0
Germany,DEU,1956,766190800.0
Germany,DEU,1957,777907650.0
Germany,DEU,1958,756379140.0
Germany,DEU,1959,755794560.0
Germany,DEU,1960,813950200.0
Germany,DEU,1961,834839600.0
Germany,DEU,1962,883168600.0
Germany,DEU,1963,945498000.0
Germany,DEU,1964,968917500.0
Germany,DEU,1965,960102200.0
Germany,DEU,1966,951422000.0
Germany,DEU,1967,936229440.0
Germany,DEU,1968,984790850.0
Germany,DEU,1969,1052000830.0
Germany,DEU,1970,1026022340.0
Germany,DEU,1971,1037236800.0
Germany,DEU,1972,1041480960.0
Germany,DEU,1973,1085738400.0
Germany,DEU,1974,1062726900.0
Germany,DEU,1975,1002447000.0
Germany,DEU,1976,1090840400.0
Germany,DEU,1977,1052608500.0
Germany,DEU,1978,1079132500.0
Germany,DEU,1979,1117888300.0
Germany,DEU,1980,1100066000.0
Germany,DEU,1981,1048523300.0
Germany,DEU,1982,1015733900.0
Germany,DEU,1983,1011604900.0
Germany,DEU,1984,1033244600.0
Germany,DEU,1985,1044117900.0
Germany,DEU,1986,1047471940.0
Germany,DEU,1987,1032442900.0
Germany,DEU,1988,1029024200.0
Germany,DEU,1989,1008792400.0
Germany,DEU,1990,1054795900.0
Germany,DEU,1991,1016929540.0
Germany,DEU,1992,969464400.0
Germany,DEU,1993,959385900.0
Germany,DEU,1994,943227650.0
Germany,DEU,1995,939933600.0
Germany,DEU,1996,959690100.0
Germany,DEU,1997,931508100.0
Germany,DEU,1998,923498700.0
Germany,DEU,1999,895442050.0
Germany,DEU,2000,898975740.0
Germany,DEU,2001,915254800.0
Germany,DEU,2002,898834300.0
Germany,DEU,2003,894501060.0
Germany,DEU,2004,876569860.0
Germany,DEU,2005,867880600.0
Germany,DEU,2006,886434300.0
Germany,DEU,2007,846116160.0
Germany,DEU,2008,856607400.0
Germany,DEU,2009,789950700.0
Germany,DEU,2010,826679940.0
Germany,DEU,2011,804513800.0
Germany,DEU,2012,814090240.0
Germany,DEU,2013,831742850.0
Germany,DEU,2014,792578750.0
Germany,DEU,2015,800844500.0
Germany,DEU,2016,798013630.0
Germany,DEU,2017,784593860.0
Germany,DEU,2018,760046340.0
Germany,DEU,2019,709826700.0
Germany,DEU,2020,648356860.0
Germany,DEU,2021,678777300.0
Germany,DEU,2022,671471550.0
Germany,DEU,2023,596151360.0
India,IND,1950,61102560.0
India,IND,1951,64022116.0
India,IND,1952,67426140.0
India,IND,1953,68704824.0
India,IND,1954,72413624.0
India,IND,1955,78787740.0
India,IND,1956,81656370.0
India,IND,1957,91635350.0
India,IND,1958,95815784.0
India,IND,1959,101447256.0
India,IND,1960,111325050.0
India,IND,1961,120404270.0
India,IND,1962,132581544.0
India,IND,1963,142444140.0
India,IND,1964,139488270.0
India,IND,1965,153701940.0
India,IND,1966,159373390.0
India,IND,1967,159555820.0
India,IND,1968,174069330.0
India,IND,1969,177413360.0
India,IND,1970,181722640.0
India,IND,1971,191963680.0
India,IND,1972,203035980.0
India,IND,1973,209095040.0
India,IND,1974,215853180.0
India,IND,1975,234209120.0
India,IND,1976,244749380.0
India,IND,1977,258961730.0
India,IND,1978,263149570.0
India,IND,1979,276284740.0
India,IND,1980,291711100.0
India,IND,1981,314966180.0
India,IND,1982,325380000.0
India,IND,1983,352198850.0
India,IND,1984,361559460.0
India,IND,1985,397592100.0
India,IND,1986,426309380.0
India,IND,1987,455343040.0
India,IND,1988,491692160.0
India,IND,1989,540651100.0
India,IND,1990,577996000.0
India,IND,1991,615365000.0
India,IND,1992,655447040.0
India,IND,1993,677299260.0
India,IND,1994,714063740.0
India,IND,1995,760461630.0
India,IND,1996,823620700.0
India,IND,1997,858011200.0
India,IND,1998,875772350.0
India,IND,1999,960762940.0
India,IND,2000,986444700.0
India,IND,2001,1000526700.0
India,IND,2002,1032139800.0
India,IND,2003,1067736960.0
India,IND,2004,1133827600.0
India,IND,2005,1194592400.0
India,IND,2006,1292484600.0
India,IND,2007,1392506000.0
India,IND,2008,1489437400.0
India,IND,2009,1612216300.0
India,IND,2010,1677337200.0
India,IND,2011,1764712400.0
India,IND,2012,1925699700.0
India,IND,2013,1995098100.0
India,IND,2014,2148343800.0
India,IND,2015,2234219500.0
India,IND,2016,2354658000.0
India,IND,2017,2426606800.0
India,IND,2018,2593057800.0
India,IND,2019,2612888000.0
India,IND,2020,2421552000.0
India,IND,2021,2674221800.0
India,IND,2022,2831166200.0
India,IND,2023,3062324500.0
United Kingdom,GBR,1950,500792130.0
United Kingdom,GBR,1951,545252800.0
United Kingdom,GBR,1952,528706100.0
United Kingdom,GBR,1953,540210750.0
United Kingdom,GBR,1954,553009700.0
United Kingdom,GBR,1955,576951700.0
United Kingdom,GBR,1956,574323500.0
United Kingdom,GBR,1957,570714200.0
United Kingdom,GBR,1958,556315840.0
United Kingdom,GBR,1959,546606140.0
United Kingdom,GBR,1960,584020030.0
United Kingdom,GBR,1961,588614800.0
United Kingdom,GBR,1962,592931500.0
United Kingdom,GBR,1963,603385660.0
United Kingdom,GBR,1964,607866000.0
United Kingdom,GBR,1965,622111600.0
United Kingdom,GBR,1966,618074600.0
United Kingdom,GBR,1967,592057000.0
United Kingdom,GBR,1968,606488260.0
United Kingdom,GBR,1969,628382600.0
United Kingdom,GBR,1970,652577400.0
United Kingdom,GBR,1971,660388200.0
United Kingdom,GBR,1972,648026300.0
United Kingdom,GBR,1973,659577100.0
United Kingdom,GBR,1974,617183600.0
United Kingdom,GBR,1975,603247040.0
United Kingdom,GBR,1976,598526000.0
United Kingdom,GBR,1977,604361700.0
United Kingdom,GBR,1978,604713500.0
United Kingdom,GBR,1979,644512800.0
United Kingdom,GBR,1980,579035400.0
United Kingdom,GBR,1981,560554500.0
United Kingdom,GBR,1982,548240400.0
United Kingdom,GBR,1983,545485100.0
United Kingdom,GBR,1984,529108160.0
United Kingdom,GBR,1985,559627300.0
United Kingdom,GBR,1986,568554000.0
United Kingdom,GBR,1987,571667600.0
United Kingdom,GBR,1988,570293760.0
United Kingdom,GBR,1989,581576100.0
United Kingdom,GBR,1990,601945100.0
United Kingdom,GBR,1991,609412700.0
United Kingdom,GBR,1992,593845950.0
United Kingdom,GBR,1993,579612540.0
United Kingdom,GBR,1994,574016900.0
United Kingdom,GBR,1995,566158900.0
United Kingdom,GBR,1996,586760700.0
United Kingdom,GBR,1997,562708160.0
United Kingdom,GBR,1998,568543700.0
United Kingdom,GBR,1999,561649600.0
United Kingdom,GBR,2000,569033660.0
United Kingdom,GBR,2001,577970560.0
United Kingdom,GBR,2002,560273200.0
United Kingdom,GBR,2003,571618750.0
